item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,הֻוֵּ אִסְמוֹ מֻנִיר וְהֻוֵּ מֻדִיר (אל)שִּׁרְכֶּה,הוא שמו מניר והוא מנהל החברה,,sentence,שדה על ו של הֻוֵּ ועל ש
,הִיֵּ אִסְמַא נַוַאל וְהִיֵּ מֻחַאמִיֵה פִי וִזַארַת (א)לְעַדֶל,היא שמה נואל והיא עורכת דין במשרד המשפטים,,sentence,שדה על י של הִיֵּ
,אִחְנַא אַסַאמִינַא עַאטֶף וְלַטִיפֶה וְאִחְנַא תַלַאמִיז הוֹן,אנחנו שמותינו עאטף ולטיפה ואנחנו תלמידים פה,,sentence,
,אִנְתוּ אַסַאמִיכֹּם זֹהֵיר וְהַדִיֵּה וְאִנְתוּ (א)צְחַאבּ (אל)דַּאר,אתם שמותיכם זהיר והדיה ואתם בעלי הבית,,sentence,שדה על י של הַדִיֵּה ועל ד
,הֻםּ אַסַאמִיהֹם שַאדִי וְעַבִּיר וְהֻםּ וְלַאד עַםּ,הם שמותיהם שאדי ועביר והם בני דודים (מצד אבא),,sentence,שדה על ם בהֻםּ ובעַםּ
,מַעַ (אל)סַּלַאמֶה,עמכם השלום,,phrase,שדה על ס
,אַללַּה יְסַלְמַכּ,אלוהים יברך אותך לשלום,,sentence,שדה על ל
,אִ(ל)סַּלַאם קַבְּל (א)לְכַּלַאם,השלום לפני הדיבורים,السّلام قبل الكلام,sentence,פתגם. שדה על ס
,הַאדַא / הַאד,"זה, הזה",,word,כינוי רמז לקרוב
,הַאדִי / הַאיְ,"זאת, הזאת",,word,כינוי רמז לקרוב
,הַדוֹלַא / הַדוֹל,"אלו, האלו",,word,כינוי רמז לקרוב
,הַדַאכּ,ההוא,,word,כינוי רמז לרחוק
,הַדִיכּ,ההיא,,word,כינוי רמז לרחוק
,הַדוֹלַאכּ,ההם / ן,,word,כינוי רמז לרחוק
1,הַאדַא (א)לְוַלַד / הַדַאכּ (א)לְוַלַד,זה הילד / הילד ההוא,,phrase,שלוש אפשרויות — צורה 1
2,אִלְוַלַד הַאד / אִלְוַלַד הַדַאכּ,הילד הזה / הילד ההוא,,phrase,שלוש אפשרויות — צורה 2
3,הַ(א)לְוַלַד = זה הילד; הַ(א)לְבִּנְת = זאת הבת,זה הילד / זאת הבת,,phrase,שלוש אפשרויות — צורה 3. בספר: הצורה הזאת תגיע רק לפני שם עצם מיודע — זכר נקבה או רבים
,מִשׁ / מֻשׁ,לא (מילת שלילה),,word,שלילת כינויי רמז ושמות עצם
,מִשׁ הַאדַא (א)לְבֵּית,לא זה הבית,,sentence,
,מִשׁ (א)לְבֵּית הַאדַא,לא הבית הזה,,sentence,
,מִשׁ הַ(א)לְבֵּית,לא זה הבית,,sentence,
,הַאדַא מִשׁ (א)לְבֵּית,זה לא הבית,,sentence,
1,צַפְחַאת (א)לְכְּתַאבּ,עמודי הספר,,phrase,
2,הַ(א)לְבִּנְת וְהַ(א)לְוַלַד,זאת הילדה וזה הילד,,sentence,
3,"הַאד חַמַּאם (א)לְבֵּית, הַאד מִשׁ (א)לְבֵּית","זה אמבטיית (בית שימוש) הבית, זה לא הבית",,sentence,שדה על מ של חַמַּאם
4,"הַאדַא בַּאבּ (א)לְמַדְרַסֶה, הַאדַא מִשׁ בַּאבּ (א)לְוִזַארַה","זאת דלת בית הספר, זאת לא דלת המשרד הממשלתי",,sentence,
5,הַאיְ (א)לְכֻּרַּאסֶה וְהַאדַא (א)לְקַלַם,זאת החוברת וזה העט,,sentence,שדה על ר
6,הַדַאכּ חֵיט (א)לְמַדְרַסֶה וְהַדִיכּ שַנְטַת (א)לְמֻדִירֵה,ההוא קיר בית הספר וההוא (היא) תיק המנהלת,,sentence,
7,הַדוֹל (א)לְכֻּרְסִי וְ(אִ)לְכְּתַאבּ,אלו הכסא והספר,,sentence,
8,הַדוֹלַאכּ (א)לְמְעַלְּמֶה וְ(א)לְבִּנְת,ההן המורה והילדה (והבת),,sentence,שדה על ל
9,הַאדִי (א)לְמֻדִירֵה וְהַאדַא (א)לְמְעַלֵּם,זאת המנהלת וזה המורה,,sentence,שדה על ל
10,הַדוֹל דַפַאתֶר וְכֻּתֻבּ וְכַּרַאסִי,אלו מחברות וספרים וכסאות,,sentence,
11,אִנְתוּ טֻלַּאבּ גַ'אמְעַה וְהֻםּ תַלַאמִיז מַדַארֶס,אתם סטודנטים (של) אוניברסיטה והם תלמידי בתי ספר,,sentence,שדה על ל של טֻלַּאבּ ועל ם של הֻםּ
12,הֻוֵּ מֻדִיר וִזַארַת (א)לְעַדֶל,הוא מנהל משרד המשפטים,,sentence,שדה על ו של הֻוֵּ
13,הַאדִי כַּאסֶת קַהְוֶה וְהַאדִי כַּאסֶת שַאיְ וְהַדַאכּ סֻכַּר,זה כוס קפה וזה כוס תה וההוא סוכר,,sentence,שדה על כ של סֻכַּר
14,אַחְמַד הֻוֵּ אִבֶּן עַמִּי וְנַגַ'אח הִיֵּ בִּנְת חַ'אלִי,אחמד הוא בן דודי (מצד אבי) ונג'אח היא בת דודי (מצד אימי),,sentence,"שדה על ו של הֻוֵּ, על מ של עַמִּי ועל י של הִיֵּ"
15,סֶכְּרֶתֵירַא פִי שִרְכַּת מֻחַאמַאה,מזכירה בחברת עריכת דין,,phrase,
1,צַבַּאח (א)לְחֵ'יר,בוקר טוב,,phrase,
2,צַבַּאח (אל)נּוּר,בוקר אור,,phrase,שדה על נ
3,מַסַא (א)לְחֵ'יר,ערב טוב,,phrase,
4,מַסַא (אל)נּוּר,ערב אור,,phrase,שדה על נ
5,מַרְחַבַּא,שלום רב,,word,
6,מַרְחַבְּתֵין,רב שלומות,,word,
7,אַהְלַן וְסַהְלַן,שלום וברכה,,phrase,
8,אַהְלַן וְסַהְלַן בִּיכּ,שלום וברכה לך,,phrase,
9,אִסֶם,שם,,word,רבים: אַסַאמִי (שמות)
10,אַמִיר,נסיך,,word,רבים: אֻמַרַאא (נסיכים)
11,מְעַלֵּם,מורה,,word,שדה על ל. רבים: מְעַלְּמִין (מורים). משמש גם כ: אחראי
12,מְעַלְּמֶה,מורה (נקבה),,word,שדה על ל. רבים: מְעַלְּמַאת (מורות)
13,בִּ = פִי,ב...,,word,המילה פִי משמשת גם במשמעות: יש
14,מַע,עם,,word,
15,דַוְרַה,קורס,,word,רבים: דַוְרַאת (קורסים)
16,טַאלֶבּ,סטודנט,,word,"רבים: טֻלַּאבּ (סטודנטים), שדה על ל"
17,טַאלְבֶּה,סטודנטית,,word,רבים: טַאלְבַּאת (סטודנטיות)
18,גַ'אמְעַה,אוניברסיטה,,word,רבים: גַ'אמְעַאת (אוניברסיטאות)
19,סֶכְּרֶתֵירַא,מזכירה,,word,רבים: סֶכְּרֶתֵירַאת (מזכירות)
20,סֶכְּרֶתֵיר,מזכיר,,word,רבים: סֶכְּרֶתֵירִיּוּן (מזכירים)
21,אַמִין,"מזכיר של גוף רשמי, ישר/אמין, שם של גבר",,word,
22,אַמִינֶה,"מזכירה של גוף רשמי, ישרה/אמינה, שם של בחורה",,word,
