item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,זַאכִּי,טעים,,word,[מהשיעור] נקבה: זַאכְּיֵה. חדש יותר מ-לַזִّיז
,עֵנְד,יש / אצל,,word,[מהשיעור] עֵנְדִי=יש לי. פִי עֵנְדְכֹּם הוֹן=יש אצלכם פה
,צַחִיח,נכון,,word,[מהשיעור] = צַח
,טַיֵّבּ,טוב,,word,[מהשיעור] זַלַמֵה טַיֵّבּ=בחור טוב. טַבּ=קיצור דיבורי
,אַכִּיד,בוודאי,,word,[מהשיעור]
,גַ'אמֵע,מסגד,,word,[מהשיעור] רבים: גַ'וַאמֵע
,גַ'בַּל,הר,,word,[מהשיעור]
,אַשַאטֵר,חכם,,word,[מהשיעור] שַאטֵר. נקבה: שַאטְרַה. רבים: שַאטְרִין. יַא שַאטֵר=יא חכם
,דַרְס,שיעור,,word,[מהשיעור] = דַאס
,קַדֵّיש,כמה,,word,[מהשיעור]
,נֻכְּתֵה,בדיחה,,word,[מהשיעור. כבר במפגש 1 - יידלג בדדופ]
