item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
53,דוֹלֵה,מדינה,,word,"פריט 53. רבים: דֻוַל"
54,מַדִינֵה,עיר,,word,"פריט 54. רבים: מֻדֻן"
55,קַרְיֵה,כפר,,word,"פריט 55. רבים: קֻרַא"
56,מַנְטַקַה,אזור,,word,"פריט 56. רבים: מַנַאטֵק"
57,שַארֵע,רחוב,,word,"פריט 57. רבים: שַוַארֵע"
58,סַאכֵּן,גר / שוכן,,word,"פריט 58. רבים: סַאכְּנִין"
59,סַאכְּנֵה,גרה / שוכנת,,word,"פריט 59. רבים: סַאכְּנַאת"
60,סֻכַּּאן,תושבים,,word,"פריט 60"
61,מֻשְכִּלֵה,בעיה,,word,"פריט 61. רבים: מַשַאכֵּל"
62,הַוִיֵּה,תעודת זהות,,word,"פריט 62. רבים: הַוִיַּאת"
63,בַּיַּארַה,פרדס,,word,"פריט 63. רבים: בַּיַּארַאת"
,עֵילֵה / עַיְלֵה,משפחה,,word,"רבים: עַאאִלַאת"
,הַדִיכּ (א)לְמַרַּה,בפעם ההיא,,phrase,"דגש על הר'"
,הַדִיכּ (א)לְמַרַּה שֻפְת הַאדִי (א)לְמַרַה,בפעם ההיא ראיתי את האישה הזאת,,sentence,"הדגש מבדיל: מַרַּה=פעם / מַרַה=אישה"
,הַדַאכּ (אל)שַּהְר,החודש ההוא,,phrase,"ש אות שמש"
,הַדִיכּ (אל)סַּנֵה,השנה ההיא / שנה שעברה,,phrase,"ס אות שמש"
,הַאדִי סֵיעַה גְ'דִידֵה,השעון הזה חדש,,sentence,
,א(ל)דַּאר הַאדִי וּ(א)לְעַמַארַה הַאדִי (א)לְכְּבִּירֵה,הדירה הזאת והבניין הזה הגדול,,sentence,"ד אות שמש"
,הַ(אל)צַּפְחַה פִי הַדַאכּ (א)לִכְּתַאבּ,העמוד הזה בספר ההוא,,sentence,
,א(ל)סֵּכְּרֵתֵירַא מַע (אל)טֻּלַּאבּ בִּ(א)לְגַ'אמְעַה,המזכירה עם הסטודנטים באוניברסיטה,,sentence,
,א(ל)שַּבַּאבִּיכּ פִי (א)לצְּפוּפ,החלונות בכיתות,,sentence,
,מֻש (אל)טַּאבֵּק הַאד — הַדַאכּ (אל)טַּאבֵּק,לא הקומה הזאת — הקומה ההיא,,sentence,
,"הַדוֹל נַבִּיל וְחְ'דִיגֵ'ה אַצְחַאבְּהֹם? לַא, הַדוֹל מֻש נַבִּיל וְחְ'דִיגֵ'ה, הַדוֹל וִסַאם וּמַרְיַם","אלה נביל וח'דיג'ה חבריהם? לא, אלה לא נביל וח'דיג'ה, אלה ויסאם ומרים",,sentence,
,אִלִּי בִּסְתְחִי מִן בִּנְת עַמּוֹ מַא בִּגִ'יבּ וְלַאד,מי שמתבייש מבת דודו לא יביא ילדים,,sentence,"פתגם"
,(אל)שַּמְס,השמש — ל' נטמעת ודגש על ש,,phrase,
,(אל)דֻּכַּּאן,החנות — ד אות שמש,,phrase,
,(א)לְכְּתַאבּ,הספר — כ אות ירח,,phrase,
,חַארְתִי,השכונה שלי,,phrase,
,טַאוְלִתְהַא,השולחן שלה,,phrase,
,בֵּיתְכֹּם,הבית שלכם,,phrase,
,דַארְהֹם,הבית שלהם,,phrase,
,סֵיעַרְתִי,המכונית שלי,,phrase,
,וַאחַד,אחת (1),واحد,word,
,תְנֵין,שתיים (2),تنين,word,
,תַלַאתֵה,שלוש (3),تلاتة,word,
,אַרְבַּעַה,ארבע (4),أربعة,word,
,חַ'מְסֵה,חמש (5),خمسة,word,
,סִתֵּה,שש (6),ستة,word,
,סַבְּעַה,שבע (7),سبعة,word,
,תַמַאנְיֵה,שמונה (8),تمانية,word,
,תִסְעַה,תשע (9),تسعة,word,
,עַשַרַה,עשר (10),عشرة,word,
