item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
62,רַסְמִי,רשמי,,word,רבים: רַסְמִיִّין
63,רַסְמִיֵّה,רשמית,,word,רבים: רַאסְמִיַّאת
,מַלְגַ'א,מקלט,,word,"רבים: מַלַאגִ'י (מהטקסט, לא ברשימה הממוספרת)"
,בַּלְקוֹנֵה,מרפסת,,word,= בַּרַנְדַא
,בַּרַנְדַא,מרפסת,,word,= בַּלְקוֹנֵה
,מְנִיח,טוב,,word,נקבה: מְנִיחַה
,חַבִּיבֵּה,אהובה / יקירה,,word,סמיכות: חַבִּיבְּת (א)לְוְלַאד
,עֻ'ורְפֵה,חדר,,word,סמיכות: עֻ'ורְפֵת (א)לְוַלַד
,חַמַאם,יונים,,word,בלי דגש! חַמַّאם (דגש) = אמבטיה
,מַצַארִי,כסף,,word,נטייה: מַצַארִי/מַצַארִיכּ/מַצַארִיהּ
,וַרַא,מאחורי,,word,
,צַחַّה,בריאות,,word,מהטקסט (לא ברשימה)
,חַ'זַאן,ארון,,word,מהטקסט
,מַכְּתַבּ,משרד / ספרייה,,word,מהטקסט; כבר במפגש 2 - יידלג בדדופ
,בַּאבּ,דלת / שער,,word,כבר במפגש 1 - יידלג בדדופ
,בַּיַّארַה,פרדס,,word,כבר במפגש 2 - יידלג בדדופ
,אִשִי,משהו / דבר,,word,= שִי; כבר במפגש 2 - יידלג
,דַרַג',מדרגות,,word,שם קיבוצי; חַארְת (אל)דַّרַג' = שכונת המדרגות
